,name,room_type,price,minimum_nights,number_of_reviews,availability_365
19237,Artsy Duplex in Chelsea w/ Huge Terrace,Entire home/apt,179,3,3,0
19238,Spacious 1BR Apt / Hamilton Heights,Entire home/apt,120,1,4,0
19240,Comfortable Chelsea Room,Private room,110,7,3,0
19243,Private Room in Williamsburg,Private room,60,1,0,0
19246,"Comfy & Vibrant Bedroomm of Bushwick, Jefferson L",Private room,45,1,7,0
19252,Chic room by the park in Bushwick,Private room,38,1,11,0
19272,Beautiful 1-BDR apt 15 min from Manhattan,Entire home/apt,129,20,0,0
19273,*PRIME* The ❤️ of Greenwich Village/SOHO SLEEPS 4,Entire home/apt,245,2,44,0
19275,"Big East Village bedroom, heart of Manhattan",Private room,120,2,5,0
19276,1 RM in 3BR Brownstone: Quiet Upper East Side St.,Private room,55,8,1,0
19278,Two Bedrooms with Dedicated Bath,Private room,150,3,10,0
19279,Master Suite with Private Bath,Private room,71,3,20,0
19280,Meatpacking Triplex - A small home within NYC,Entire home/apt,300,2,7,0
19282,Bohemian Brooklyn Pad with Rooftop Garden Oasis,Private room,65,2,3,0
19290,Modern Apartment in Manhattan,Private room,90,3,3,0
19294,Nature Lovers Dream,Private room,32,2,1,0
19296,Modern Room Uptown,Private room,100,1,3,0
19297,"Private room with yard, in the heart of Bushwick",Private room,45,90,0,0
19301,Entire floor private 1 bedroom in Bushwick,Private room,75,3,2,0
19303,Upper West Side & CENTRAL PARK at your doorstep,Private room,90,14,0,0
19306,Uptown NEVER Felt so in the Middle of Everything,Entire home/apt,100,1,73,0
19308,Cozy East Village Studio,Private room,99,3,11,0
19309,"cozy, studio apartment in bed-stuy",Entire home/apt,80,1,5,0
19311,Private Room in Heart of East Village!,Private room,80,4,7,0
19315,Spacious room in relaxing 2 BDR UWS apartment,Private room,95,6,4,0
19322,"Clean, cozy bedroom in luxury building",Private room,108,1,1,0
19327,comfortable private room in Hamilton Heights,Private room,50,2,28,0
19331,Manhattan Upper West Side 1 BR by Central Park,Entire home/apt,174,4,12,0
19338,Most walkable location for fun,Private room,100,5,18,0
19340,Large and bright cozy room in Manhattan,Private room,100,7,13,0
19341,A calm & peaceful spot to relax in the buzzing NYC,Private room,29,1,73,0
19344,Modern style apartment with balcony in Astoria,Entire home/apt,80,2,1,0
19345,Light filled Bowery 1BD apartment,Private room,200,3,0,0
19349,Spacious 1 Bedroom at Central Park,Entire home/apt,249,2,18,0
19350,Southern comfort in Harlem,Private room,80,1,15,0
19352,Awesome room and rooftop deck in East Williamsburg,Private room,90,2,1,0
19354,Doorman Time SQ View 2 bed 2 bath 5200,Entire home/apt,290,30,0,0
19356,"Brooklyn, Where my story begins...",Entire home/apt,95,3,7,0
19361,A home away from home in the heart of the UES:),Entire home/apt,125,5,1,0
19363,A Life in Brooklyn,Entire home/apt,150,2,61,0
19370,Convenient 2 BRs in 4BR Apartment in Williamsburg,Private room,90,1,1,0
19371,Commuters paradise - Cozy Townhouse!,Private room,99,2,4,0
19377,Spacious 2 Bedroom Apartment by Central Park,Entire home/apt,145,2,101,0
19378,Authentic Bklyn location with Caribbean vibes,Entire home/apt,90,30,0,0
19382,Urban Rustic Retreat - Shared Space,Shared room,65,1,23,0
19383,Quiet & Spacious Brooklyn Apt for Cat-Lovers,Entire home/apt,90,9,7,0
19386,Beautiful home in Red Hook,Entire home/apt,115,6,0,0
19387,Private Bedroom & Living Room in Williamsburg,Private room,100,1,7,0
19390,Cozy Private Room 1 people by JFK,Private room,39,1,64,0
19391,1 Bedroom in Quiet Upper West Side,Entire home/apt,120,1,0,0
19397,Huge Loft Size Room with Private Bath in Hip Area!,Private room,65,1,194,0
19398,Gorgeous Bushwick Apartment,Private room,40,5,19,0
19399,Spacious Room in Stylish Brooklyn - Close to Train,Private room,50,1,186,0
19400,Spacious Studio Near the Subway,Entire home/apt,78,3,5,0
19401,Well Lit Spacious Room with Lots of Amenities,Private room,50,1,171,0
19408,Cozy Apartment off J&M Subway Lines,Entire home/apt,125,1,12,0
19410,Great 1 bedroom full Apartment!,Entire home/apt,120,2,13,0
19411,Beautiful Private Bedroom in 2BR Apartment,Private room,149,3,4,0
19412,Large room in an arty Brooklyn apartment,Private room,90,4,0,0
19414,Private Guest Room in Charming West Village Duplex,Private room,250,3,8,0
19418,Super quiet Apartment in East Williamsburg!!! =),Private room,80,3,6,0
19423,Private Oasis Room #1- Close to L and M Train.,Private room,65,1,3,0
19434,Feng Shui in Astoria with Balcony 150mb WiFi,Entire home/apt,125,18,0,0
19443,NYC SoHo Prime Location,Private room,85,5,0,0
19444,PRIVATE ROOM IN COMFORTABLE APT.,Private room,52,3,16,0
19446,"Quiet, Cozy, ELEVATOR, Queen Bedroom near Subway!",Private room,90,2,61,0
19448,"New Listing---Clean, Spacious 1-Bedroom in SoHo",Entire home/apt,75,4,9,0
19450,Top floor of a charming Brooklyn townhouse,Entire home/apt,147,5,85,0
19451,Huge Bedroom w/direct access to backyard,Private room,50,2,3,0
19452,"Cozy East-Village Walk, Blocks from Union Square",Entire home/apt,250,5,1,0
19453,Private Room in Beautiful Apartment,Private room,40,5,3,0
19456,Huge & Sunny Room in Williamsburg w Roof,Private room,100,2,0,0
19457,Nice Room in Charming Apt.,Shared room,65,1,8,0
19459,"3 bedroom, second floor and cozy",Entire home/apt,150,2,100,0
19460,1 bedroom to yourself in Midtown Manhattan!,Entire home/apt,135,3,21,0
19464,Lower East Side Private Room - Elevator Building,Private room,120,6,3,0
19466,Spacious room in cozy 4-brm Union Square apt!,Private room,51,7,0,0
19467,"Peaceful Getaway, minutes from NYC attractions!",Entire home/apt,87,2,36,0
19470,"Cozy room in Williamsburg,only 1 stop to Manhattan",Private room,90,2,2,0
19473,Charming and Cozy one bedroom,Entire home/apt,140,2,43,0
19474,889 Bushwick Ave,Private room,2000,5,1,0
19477,"Cozy , Cute and Spacious one bedroom Brooklyn Apt",Entire home/apt,90,1,0,0
19478,Brooklyn Room in Hip Neighborhood - Close to Train,Private room,61,1,181,0
19480,Comfortable large room in a great neighborhood!,Private room,69,14,7,0
19481,Modern Bedroom with Best View in Brooklyn,Private room,199,3,20,0
19482,Chill in Downtown Brooklyn Clinton Hill Pratt Univ,Entire home/apt,95,1,13,0
19486,可愛いﾚﾝｶﾞの壁のお部屋/ Manhattan,Private room,65,7,1,0
19489,Near at the JFK 15 minutes,Private room,35,2,5,0
19490,Sunny Room on Historic Clinton Ave. in Fort Greene,Private room,65,2,18,0
19491,Convenient & Cute in Gramercy,Entire home/apt,180,3,0,0
19493,"Furnished room close to most, 15min to Grand Cent.",Private room,50,20,2,0
19494,Tribeca/Chinatown Converted Loft,Entire home/apt,100,6,1,0
19497,"Spacious Apt on the Park, 1 blk from L Train",Entire home/apt,185,5,2,0
19498,Cozy One-Bedroom in Park Slope,Entire home/apt,135,1,12,0
19506,"Spacious, comfortable, UES private room",Private room,110,1,1,0
19513,Awesome apartment in the heart of Soho,Entire home/apt,350,5,2,0
19517,Sumptuous & Lovely Williamsburg 1 Bedroom,Entire home/apt,110,2,11,0
19519,Large Private Bedroom in a 3 Story Brown Stone,Private room,40,2,2,0
19520,Luxury Williamsburg apt w/rooftop,Entire home/apt,200,2,3,0
19523,Cozy Bedroom in cute Clinton Hill brownstone apt!,Private room,75,2,1,0
19524,Cozy Private Room 1-2people,Private room,47,1,63,0
19530,Incredible room in Brooklyn,Private room,71,7,12,0
19531,Private Studio Apartment in Bushwick,Entire home/apt,88,2,19,0
19533,Spacious Upper West Side Studio near Central Park,Entire home/apt,115,5,5,0
19538,Bedroom w/ own bathroom & backyard in Bushwick!,Private room,40,5,0,0
19545,"Big Backyard! Entire 2 Story House, Near Train",Entire home/apt,229,2,8,0
19546,"East Village Flat-Clean,Comfy,Close",Private room,110,3,7,0
19547,Bright and Sunny 2 Bedroom Apt.,Entire home/apt,170,6,3,0
19551,Great Bedroom in Homey Apartment,Private room,125,1,0,0
19552,Cute 1-bedroom in the East Village,Entire home/apt,140,7,1,0
19555,Room near NYC airports + trains,Private room,65,1,16,0
19557,SPACIOUS STUDIO APT 3 IN PROSPECT LEFFERTS GARDENS,Entire home/apt,100,5,54,0
19559,Queen bedroom with private bathroom in Brooklyn,Private room,89,5,1,0
19560,"Great apt, Next to 1 train.",Private room,60,3,0,0
19561,Williamsburg / Greenpoint 1500 square foot apt,Entire home/apt,200,4,0,0
19562,Lovely 2 Bedroom with Balcony on UWS,Entire home/apt,180,4,9,0
19564,Sunny studio loft in Brooklyn,Entire home/apt,160,3,12,0
19568,"Cool private room in Astoria, New York!",Private room,49,1,12,0
19571,Large Brooklyn loft close to everything,Entire home/apt,98,2,0,0
19576,Cozy Private Room in Williamsburg/Greenpoint Loft,Private room,60,1,92,0
19578,2 Bedrooms with room for 4,Entire home/apt,160,30,2,0
19581,Big furnished bedroom Williamsburg,Private room,115,2,0,0
19582,"In-law unit - bedroom, living room, mini kitchen.",Entire home/apt,79,5,48,0
19583,Flatiron / Gramercy 2 Bed Studio,Entire home/apt,236,1,23,0
19584,Big room in the heart of Chelsea.,Private room,120,1,1,0
19588,"Cozy, Colorful Private Room on the Upper East Side",Private room,60,1,8,0
19591,Beautiful Upper East Side Studio,Entire home/apt,125,2,8,0
19594,"Lovely Room in Greenpoint, Brooklyn",Private room,55,5,3,0
19595,"Spacious and Homey 2 bedroom, Express Subway Stop",Entire home/apt,130,3,7,0
19599,One bedroom in Williamsburg,Private room,55,3,4,0
19601,Large modern one bedroom apartment,Entire home/apt,220,7,0,0
19602,Cozy Winged Bedroom in the East Village,Private room,155,1,1,0
19604,Space & Comfort in Victorian Brooklyn home,Entire home/apt,180,3,5,0
19605,SPACIOUS LUXURY 2 bedroom apartment in Brooklyn!,Entire home/apt,135,4,9,0
19607,Home sweet home in Harlem,Entire home/apt,100,3,2,0
19613,Room w/ Private Balcony River View,Private room,95,1,22,0
19616,Beautiful Bedroom In the Heart of Harlem,Private room,89,1,3,0
19618,Artsy Bedroom for Solo Traveler,Private room,89,2,2,0
19621,Beautiful Downtown Brooklyn Studio,Entire home/apt,100,1,0,0
19624,Sunny room with private bathroom - 5m to L train,Private room,63,2,20,0
19625,Comfy private room in great Astoria neighborhood,Private room,55,1,5,0
19626,Bright Spacious BK Room with Bath,Private room,90,3,3,0
19627,Williamsburg Gem: Sleep up to 5,Entire home/apt,164,2,1,0
19629,Sunny 2 bd + Private rooftop on best GP street,Entire home/apt,250,3,2,0
19635,Views !  - Unique penthouse in UWS,Entire home/apt,175,21,5,0
19638,Colorful Artist Loft w. your own Ocean Oasis,Private room,49,5,17,0
19640,Two-bedroom in the heart of Chelsea,Entire home/apt,265,3,2,0
19652,Spacious studio in Upper East Side,Entire home/apt,150,3,2,0
19654,King Sized Serenity,Private room,55,3,1,0
19655,Serenity Near Time Square,Private room,150,2,0,0
19656,Cozy Room Amazingly Located in Williamsburg !,Private room,45,3,4,0
19665,Stylish Williamsburg One Bedroom Apartment,Entire home/apt,136,30,8,0
19672,Cozy Top Floor Apartment in Lovely Astoria,Private room,75,3,0,0
19673,"Super spacious LES apt, close to subway/good eats!",Private room,99,5,0,0
19675,Luxurious Williamsburg Loft with Private Patio,Entire home/apt,200,5,1,0
19676,Large unit in Prospect Park area townhouse,Entire home/apt,99,2,96,0
19677,Beautiful & spacious apartment on Upper East Side,Entire home/apt,270,1,3,0
19686,Duplex Penthouse between Union Sq and East Village,Entire home/apt,275,2,0,0
19687,"Bright, Cozy &  Quiet ""TreeFort""-type ONE bedroom",Entire home/apt,150,4,11,0
19689,Cozy studio in Chelsea for one or two travellers,Entire home/apt,150,6,1,0
19692,"beautiful artistic 1 bdrm in Park Slope, Brooklyn",Entire home/apt,125,7,1,0
19699,Large Cozy Bedroom in Manhattan,Private room,75,1,2,0
19701,Private Room in a 3 Bedroom Apartment!,Private room,60,2,0,0
19704,Dream Room in Modern Apartment,Private room,54,1,166,0
19707,Private Room in Bright Roomy 3br Brooklyn Apart.,Private room,65,4,7,0
19708,Cozy easy village apartment in central location,Private room,50,4,1,0
19709,"Sun-drenched apartment, 20 mins to Manhattan",Private room,44,28,0,0
19714,Entire Floor in Great Location & beautiful Garden,Entire home/apt,85,5,5,0
19718,Beautiful Room in Modern Apartment,Private room,49,1,153,0
19724,Elegant spacious private room,Private room,50,2,13,0
19727,Beautiful Room in Clinton Hill,Private room,130,3,0,0
19730,"Private, Comfortable and Big Room89",Private room,70,1,52,0
19735,Spacious and peaceful apt in East Village,Entire home/apt,178,9,22,0
19736,"Cute,comfortable room near Columbia University",Private room,60,1,0,0
19738,Master bedroom/20min Manhattan/individual bathroom,Private room,40,1,7,0
19740,Private Master BR/Bath - 15 Minutes to Manhattan,Private room,95,4,0,0
19741,One Bedroom in Heart of LES,Private room,86,5,0,0
19742,Spacious 1 Bedroom in Bushwick,Private room,200,2,0,0
19744,Cute and comfortable niece room with a balcony.,Private room,65,4,0,0
19751,big cozy room in Bed-Stuy with separate entrance,Private room,50,2,0,0
19755,Private room in Red Hook Artist House,Private room,62,5,6,0
19757,Sunny and spacious  1-bedroom in Brooklyn,Private room,80,1,53,0
19759,Sweet two bedroom in Crown Heights Bk,Entire home/apt,87,1,9,0
19763,Manhattan low price UWS Columbia big cozy bedroom,Private room,75,2,8,0
19765,Luxury NYC 1 Bed w/Gorgeous Views + Pool,Entire home/apt,289,2,4,0
19774,Modern Light Filled 1 Bedroom in East Williamsburg,Entire home/apt,150,3,19,0
19775,Financial District(FIDI) Studio,Entire home/apt,145,3,2,0
19776,Fashion Designer Studio - Entire Apartment,Entire home/apt,221,30,3,0
19783,Bedroom in shared apt next to Grand Central,Private room,40,5,0,0
19785,Cozy room in the heart of Park Slope.,Private room,47,2,7,0
19786,FLUSHING APT!! BEST DEAL IN NYC!!!,Entire home/apt,85,1,68,0
19789,"Sunny, 1 Bedroom in Bedstuy, Brooklyn",Entire home/apt,85,7,1,0
19794,"Stunning 1 Br, West Village Luxury w/ great views",Entire home/apt,295,365,15,0
19798,Cozy room in the heart of Astoria,Private room,55,1,94,0
19799,Private & comfortable room near Prospect Park,Private room,100,2,90,0
19810,1 Bd Kips Bay  Luxury/Doorman. - Pool & Gym.,Shared room,65,4,0,0
19813,"Cozy, spacious room in Williamsburg",Private room,89,5,26,0
19815,Manhattan - Upper East Side Lovely Private Bedroom,Private room,60,1,27,0
19818,"Large Room w Private Backyard, 20 mins to City",Private room,43,1,1,0
19820,Private bedroom & bathroom in 2 bedroom 2 bath Apt,Private room,105,1,38,0
19821,Gorgeous 1BR brownstone in Harlem close to trains,Entire home/apt,140,15,0,0
19825,Room in Stuytown Apartment,Private room,100,3,1,0
19826,"Cozy Private Room in Sunset Park,BK",Private room,38,2,1,0
19827,"Spacious, Cozy Home Away From Home",Private room,88,5,7,0
19829,Stylish Parkside Midcentury Apt,Entire home/apt,159,2,32,0
19830,Great Bedroom in a great location. Fun hosts.,Private room,65,2,42,0
19832,Quiet&convenient/1B/ UpperWestLuxury/ 2Sub nearby,Entire home/apt,150,4,1,0
19833,PRIVATE BEDROOM Bushwick close to L and J trains,Private room,50,1,4,0
19834,Brooklyn Stay,Private room,70,1,1,0
19835,Charming 2 Bedroom Space in Downtown Brooklyn,Private room,225,15,4,0
19838,"Spacious, bright room, prime Williamsburg location",Private room,110,3,0,0
19841,Evergreen Cozy Bed for Female Travelers 紐約民宿,Shared room,25,1,64,0
19846,Entire JR. One bedroom PRIME West Village,Entire home/apt,125,7,12,0
19847,Charming Loft,Entire home/apt,250,3,6,0
19854,Comfy room near trendy Columbia University,Private room,100,3,6,0
19856,Amazing 2 bed 2 bath in Central Harlem.,Entire home/apt,200,7,3,0
19857,Charming West Village Brownstone Apartment,Entire home/apt,220,10,8,0
19858,"Big Room, Refinished Place - 35 min to Times Sq.",Private room,45,5,30,0
19859,2 Room/1 Bath Entire Apt! Next to Colleges/Train!,Entire home/apt,203,3,13,0
19861,Studio apartment near Monte Fiore hospital,Private room,40,1,1,0
19862,650 Ocean Avenue,Private room,42,2,0,0
19864,Apartment in Luxury Building ***GREAT PRICE***,Entire home/apt,190,10,5,0
19865,Private room in beautiful Williamsburg apartment,Private room,58,2,6,0
19866,Super spacious & sunny 1-bedroom Fort Greene Apt.,Entire home/apt,150,2,1,0
19868,Bright Modern Quiet Chelsea true 1bed,Entire home/apt,180,4,46,0
19870,900 sq. ft. Artist Loft in the Heart of Brooklyn,Entire home/apt,150,2,14,0
19878,"East Village/Gramercy Park, 1 Bedroom",Private room,110,1,8,0
19881,Beautiful 1- bdrm apt in tranquil Inwood building,Entire home/apt,110,2,26,0
19884,1BR Apartment in Historic Park Slope Brownstone,Entire home/apt,110,5,48,0
19893,Cozy studio basement in heart of Brooklyn,Private room,35,2,0,0
19897,Holiday Sublet in Eco-Friendly Artist House,Private room,42,7,0,0
19903,Spacious Bushwick Loft,Private room,65,4,4,0
19906,Brooklyn Heights for Christmas,Entire home/apt,275,7,0,0
19908,"Space, comfort, views!",Entire home/apt,100,4,3,0
19909,2 Bedroom East Village NYC Apartment,Entire home/apt,350,2,0,0
19911,Cozy room with balcony in 15mins Manhattan,Private room,75,1,122,0
19912,"Clean, Cozy Private Room in Classy Bushwick Apt",Shared room,60,1,0,0
19914,"Gorgeous, cozy, clean - 25mins to Times Square.",Entire home/apt,74,2,21,0
19915,"Affordable 1 bedroom apt, in great neighborhood",Entire home/apt,100,2,5,0
19919,Bedroom (#2) in beautiful apt near Central Park,Private room,50,2,0,0
19920,Charming studio located in Kips Bay!,Entire home/apt,160,3,9,0
19921,Nice one Bedroom in Williamsburg,Entire home/apt,139,4,2,0
19924,Spacious 1+ bedroom apt in NYC,Entire home/apt,135,1,45,0
19925,Wyndham Midtown 45 King Suite Times Square NYC,Entire home/apt,175,3,0,0
19927,Comfy spacious Astoria aptmt 15m from Manhattan,Private room,56,3,0,0
19928,Big Bright Alcove Studio in Upper East Side,Entire home/apt,200,4,2,0
19929,Spacious and clean 1 bedroom - Brooklyn,Entire home/apt,115,3,3,0
19930,One Bedroom in Prospect Heights with a Cat!,Entire home/apt,45,3,1,0
19933,Private room for 2 Guests • Female Only • 紐約民宿,Private room,39,4,2,0
19936,Bedroom with Private Living Room near Central Park,Private room,150,1,11,0
19937,Cozy Private Bedroom in the Lower East Side,Private room,75,8,0,0
19942,Large private bedroom+bathroom Central Park North,Private room,150,1,2,0
19943,High-ceilinged room in artist loft space -Bushwick,Private room,46,7,26,0
19947,Cosy apartment in Bushwick,Private room,50,3,0,0
19949,Spacious Apartment in Park Slope Brownstone,Entire home/apt,149,11,8,0
19950,Wonderful Private Room with Spacious Outdoor Patio,Private room,60,2,5,0
19960,Quiet Furnished Room in Greenpoint/Williamsburg,Private room,37,3,4,0
19962,"Cozy Studio by public garden, Washington Heights!",Entire home/apt,80,8,4,0
19963,Harlem Humble Abode - 1 bedroom - Cute and Quaint,Entire home/apt,200,5,0,0
19965,Chambre disponible Harlem 1 semaine,Private room,35,1,4,0
19966,"Cozy for female, 10 min away from Manhattan",Private room,52,1,0,0
19968,"Sunny Room- just south of Park, Brooklyn",Private room,33,14,1,0
19969,Cozy apartment in Upper East!,Entire home/apt,129,2,1,0
19970,"Bright guest room Staten Island, New York",Private room,49,1,17,0
19971,QUEEN BEDROOM in sunny CENTRAL PARK apartment,Private room,103,1,2,0
19973,1 Bd in Sunny Bedstuy Apt,Private room,41,7,9,0
19974,Spacious room w/ own bathroom in the East Village,Private room,76,30,4,0
19976,Bright & Spacious 1br in the Heart of UWS,Entire home/apt,167,3,3,0
19977,1-Bedroom Apt Near Manhattan,Entire home/apt,95,4,20,0
19981,Cozy room in Roosevelt Island.,Private room,65,20,2,0
19982,Huge kid-friendly Brooklyn home with parking/patio,Entire home/apt,150,10,3,0
19983,"Bright, cozy studio in Astoria",Entire home/apt,76,3,9,0
19985,Cozy Room in Brownstone,Private room,35,3,0,0
19986,Railroad Style 1 B.R. Astoria Bachelor Pad,Entire home/apt,110,21,6,0
19987,Charming Carriage House near Prospect Park,Entire home/apt,300,7,0,0
19988,Cozy studio in Chelsea,Entire home/apt,125,1,0,0
19989,Luxury and  Contemporary,Entire home/apt,225,5,0,0
19991,Cozy studio in the Heart of NYC,Entire home/apt,110,3,2,0
19993,Beautiful Williamsburg Home on the Park,Entire home/apt,220,5,1,0
19994,Cosy renovated studio apartment in Bed Stuy,Entire home/apt,80,3,6,0
19999,Rustic room in renovated Bushwick apartment,Private room,50,1,2,0
20002,Top Floor Views Great Apartment in Williamsburg,Entire home/apt,120,5,1,0
20003,Cozy NYC apt!,Entire home/apt,250,2,2,0
20004,Christmas Shopping in Manhattan,Private room,350,4,0,0
20005,Private Bedroom for 1 Female - LIC great location!,Private room,70,4,1,0
20012,Cozy room in Hamilton Heights,Private room,40,5,4,0
20017,Nice Manhattan bedroom,Private room,90,1,6,0
20018,Discover Ridgewood/Queens,Private room,105,12,0,0
20021,"Upper Eastside Studio, Walk to Central Park",Entire home/apt,155,21,9,0
20022,Parlour Apartment in PreWar Home,Shared room,40,4,17,0
20026,Redford Room 1,Private room,109,1,3,0
20028,Chelsea Apartment/Flat- sleeps up to 4,Entire home/apt,149,2,8,0
20029,"1BR spacious, sunny (25 min to Manhattan)",Entire home/apt,101,17,9,0
20030,In the heart of the West Village,Entire home/apt,150,3,1,0
20031,Greenwich Village Apartment,Entire home/apt,135,3,3,0
20032,Luxury doorman 1br in West Village,Entire home/apt,220,4,0,0
20033,Large Private Room in Upper East Side,Private room,80,4,19,0
20036,Cute BR at Columbus Circle,Private room,100,2,2,0
20039,Cute Greenpoint room,Private room,60,3,1,0
20042,1 Bedroom Apartment with Balcony in Brooklyn,Entire home/apt,75,1,3,0
20043,Private Bedroom & bath - Huge Apt in Williamsburg,Private room,75,10,0,0
20044,Family Style Home in Upper East/East Harlem,Entire home/apt,130,2,3,0
20045,Huge Bedroom in the Upper West near Central Park,Private room,88,7,3,0
20046,Apartment 5A,Private room,110,1,16,0
20048,Charming apt in Bed-Study! Central location,Private room,60,1,0,0
20052,A Touch of Modern,Private room,75,3,3,0
20054,Spacious apartment in Brooklyn,Entire home/apt,145,2,4,0
20057,"Spacious Modern 1-bedroom in Greenpoint w/TV, heat",Entire home/apt,86,4,2,0
20059,"MARTIAL LOFT 3: REDEMPTION (upstairs, 1st room)",Private room,59,3,11,0
20060,Times Sqaure Gem,Entire home/apt,280,5,1,0
20062,Brooklyn Getaway,Private room,55,3,0,0
20064,Sunny Sunset Park Apt,Entire home/apt,75,4,5,0
20065,colorful and huge 1BD near Prospect Park,Entire home/apt,100,2,1,0
20066,Spacious & Light room in hip Lower East Side,Private room,95,4,1,0
20071,Small Private Room in Gramercy/East Village,Private room,65,5,7,0
20074,Artist Welcome! Huge room w/ private office,Private room,69,7,0,0
20075,Well connected private room,Private room,70,10,17,0
20076,Bright Brooklyn Bedroom in Crown Heights,Private room,35,3,2,0
20081,Charming Upper East Side 1 Br on Historic Block,Entire home/apt,120,1,9,0
20085,1 Bedroom Apt. in Prime Williamsburg,Entire home/apt,150,2,13,0
20088,The Coziest Bedroom of The Upper West Side,Private room,85,7,14,0
20092,Spacious apartment in Manhattan,Entire home/apt,200,2,1,0
20098,"Large & Comfortable, Close to Train",Entire home/apt,73,2,4,0
20109,CHARMING HOME with TONES OF LIGHT & GREAT DESIGN,Entire home/apt,290,6,3,0
20111,Modern Studio overlooking Empire State building,Entire home/apt,199,5,53,0
20114,"Quiet, Clean Room in Amazing Location!",Private room,75,5,1,0
20115,"Cozy, convenient Park Slope 2br",Entire home/apt,130,4,1,0
20117,"Luxury Townhouse , Private Garden",Entire home/apt,300,5,0,0
20118,Sunny Spacious Family Friendly 2Bed/2Bath UES Apt,Entire home/apt,250,2,10,0
20124,Private Apartment In the Heart of Chelsea,Entire home/apt,156,5,4,0
20128,Superb master bedroom on the Upper West Side,Private room,60,14,1,0
20131,Modern Large Apartment in Midtown East,Entire home/apt,279,5,3,0
20134,Brooklyn Apartment on the Park,Entire home/apt,130,4,10,0
20135,Luxury 3 bedroom apartment on the Upper East Side,Entire home/apt,500,2,1,0
20137,Sunny Room in Bed Stuy Brooklyn,Private room,75,2,55,0
20138,Cozy Alphabet City bedroom with private patio,Private room,49,3,1,0
20145,Bedroom in Large Artist Loft in Brooklyn,Private room,49,5,16,0
20148,Cozy room + unlimited metrocard,Private room,50,4,0,0
20149,Chateau Retreat in Artsy Bushwick Brooklyn,Private room,120,3,1,0
20154,"comfortable room, couples welcome, crown heights.",Private room,30,3,1,0
20156,"Spacious 1-bd, sleeps 2, 20 min to Times Square",Private room,135,7,1,0
20157,#1 Rated 3br Park Slope Apt (1700sqf+Renovated!),Entire home/apt,250,3,54,0
20159,Affordable Bedroom in Brooklyn,Private room,50,4,28,0
20162,"New reno - vibey, sun-filled studio",Entire home/apt,160,2,11,0
20165,Private room in Williamsburg,Private room,60,2,7,0
20170,Gorgeous Brand New Condo,Entire home/apt,225,5,6,0
20171,Lovely 2 bed/2 bath 15 min. from TIMES SQUARE,Entire home/apt,210,2,4,0
20174,Modern 1 bedroom in Prime Bushwick,Entire home/apt,135,3,5,0
20176,SoHo Apartment Room to Rent Ready,Private room,110,3,0,0
20177,Unique Retreat in the Heart of Bushwick!,Entire home/apt,140,3,0,0
20178,Quiet Bedroom with Own bathroom Near City,Private room,60,1,0,0
20182,Cozy Apartment in Williamsburg,Entire home/apt,200,2,9,0
20184,Cozy room in Williamsburg,Private room,90,1,0,0
20186,Private Double Room in Bushwick Loft,Private room,45,3,31,0
20190,Cozy Room in a 2BR Apartment,Private room,21,5,4,0
20192,Large 2-bedroom Brownstone with Artistic Charm,Entire home/apt,135,3,0,0
20193,Gorgeous 1 Bedroom in Prime Location in Brooklyn!,Private room,145,4,0,0
20195,NEW! Exceptional 2BR/1BA Williamsburg Oasis,Entire home/apt,199,3,1,0
20198,"1 Bedroom in the Heart of The Upper East Side, NY",Private room,100,2,14,0
20199,ENTIRE 1BR in the heart of NYC !,Entire home/apt,199,3,3,0
20205,Cozy studio with stunning views of Dwntwn,Entire home/apt,200,2,3,0
20207,Sun filled gem in the heart of the East Village,Entire home/apt,150,5,8,0
20212,Cozy Apartment,Private room,110,1,1,0
20215,"Gorgeous, sun-drenched private apt in Harlem",Entire home/apt,120,4,22,0
20217,Studio in beautiful Chelsea - close to everything!,Entire home/apt,150,3,2,0
20218,"Cozy room w/ window in Ridgewood, Queens.",Private room,40,2,20,0
20221,Cosy Room in Williamsburg House,Private room,55,4,3,0
20222,New York Christmas in Astoria,Entire home/apt,150,5,2,0
20224,"和缘阳光民宿 停车方便,环境优美 宽敞明亮,中英文服务｡",Private room,38,1,69,0
20229,Unbeatable Location and Charm in the West Village,Entire home/apt,350,2,5,0
20230,Charming room well located !!!!,Private room,60,5,1,0
20231,Clean and Comfy Private Bedroom,Private room,75,1,0,0
20233,Newly Furnished Bedroom in NYC apt,Private room,100,2,4,0
20234,Cozy Bedroom in Centrally Located Apartment,Private room,60,3,21,0
20237,Private room in Flatbush Brooklyn!,Private room,36,7,8,0
20241,Williamsburg - Terrace apartment,Private room,35,3,0,0
20248,Historic Lower East Side,Entire home/apt,120,20,4,0
20253,Bahia Brazil Vibe,Private room,95,3,14,0
20255,"Modern Room in a Cozy, Colorful Apartment",Private room,75,1,3,0
20256,Williamsburg Studio w/ Balcony & Stunning View,Entire home/apt,210,4,0,0
20260,Awesome spot in Bushwick,Private room,82,2,0,0
20261,"Private room, Sunny topfloor apartment Cobble Hill",Private room,114,1,2,0
20263,Double room in spacious Morningside apartment,Private room,55,6,0,0
20265,Longer-term 2-bedroom in Nolita with terrace.,Entire home/apt,387,1,0,0
20266,BEAUTIFUL 1-BEDROOM @ דירה שווה בוויליאמסבורג,Entire home/apt,150,7,0,0
